"ID","Name","coord","link","lon","lat","js"
96,"Neue Reutlinger Huette, Sektion Reutlingen","Längengrad:10°06'56''Breitengrad:47°04'30''","https://www.alpsonline.org/reservation/calendar?hut_id=96",9.209287,48.493223,"['Neue Reutlinger Huette, Sektion Reutlingen',9.209287,48.493223],"
97,"Freiburgerhuette, Sektion Freiburg","N47°09'46""/E09°59'26""","https://www.alpsonline.org/reservation/calendar?hut_id=97",9.9905413,47.162732,"['Freiburgerhuette, Sektion Freiburg',9.9905413,47.162732],"
98,"Edmund-Graf-Huette, Sektion TK Innsbruck","UTMY(Nord)5.217.848/UTMX(Ost)602.866","https://www.alpsonline.org/reservation/calendar?hut_id=98",10.3557478,47.1060187,"['Edmund-Graf-Huette, Sektion TK Innsbruck',10.3557478,47.1060187],"
99,"Berghaus Au, Sektion Ueberlingen","47.318/9.963","https://www.alpsonline.org/reservation/calendar?hut_id=99",9.9637906,47.3180982,"['Berghaus Au, Sektion Ueberlingen',9.9637906,47.3180982],"
100,"Gaudeamushuette, Sektion Main-Spessart","47.549167N12.324450E","https://www.alpsonline.org/reservation/calendar?hut_id=100",12.324513,47.549263,"['Gaudeamushuette, Sektion Main-Spessart',12.324513,47.549263],"
101,"Saupsdorfer Huette, Sektion Saechischer Bergsteigerbund","50.927783N14.335000E","https://www.alpsonline.org/reservation/calendar?hut_id=101",14.3355328,50.9279506,"['Saupsdorfer Huette, Sektion Saechischer Bergsteigerbund',14.3355328,50.9279506],"
103,"Neue Heilbronner Huette, Sektion Heilbronn","47.009359475747154/10.138901139143854","https://www.alpsonline.org/reservation/calendar?hut_id=103",9.208417,49.171874,"['Neue Heilbronner Huette, Sektion Heilbronn',9.208417,49.171874],"
104,"Rotwandhaus, Sektion Turner Alpenkraenzchen","47°38'46<U+2033>N,11°56'5<U+2033>O","https://www.alpsonline.org/reservation/calendar?hut_id=104",11.9351138,47.6461586,"['Rotwandhaus, Sektion Turner Alpenkraenzchen',11.9351138,47.6461586],"
106,"Goiserer Huette, OeAV, Alpenverein Bad Goisern","UTMY(Nord)5.275.143/UTMX(Ost)391.908","https://www.alpsonline.org/reservation/calendar?hut_id=106",13.561572,47.620745,"['Goiserer Huette, OeAV, Alpenverein Bad Goisern',13.561572,47.620745],"
108,"Gablonzer Huette, Alpenverein Neugablonz Enns","UTMY(Nord)5.265.519/UTMX(Ost)385.586","https://www.alpsonline.org/reservation/calendar?hut_id=108",14.4794854,48.2056246,"['Gablonzer Huette, Alpenverein Neugablonz Enns',14.4794854,48.2056246],"
109,"Zollnersee Huette, Alpenverein Obergailtal-Lesachtal","UTMY(Nord)5.163.170/UTMX(Ost)352.225","https://www.alpsonline.org/reservation/calendar?hut_id=109",13.0007035,46.6591713,"['Zollnersee Huette, Alpenverein Obergailtal-Lesachtal',13.0007035,46.6591713],"
110,"Geraerhuette, Sektion Landshut","47°02'36""N11°37'41""E","https://www.alpsonline.org/reservation/calendar?hut_id=110",11.628163,47.043388,"['Geraerhuette, Sektion Landshut',11.628163,47.043388],"
111,"Hofpuerglhuette, Alpenverein Linz","UTMY(Nord)5.259.817/UTMX(Ost)388.435","https://www.alpsonline.org/reservation/calendar?hut_id=111",14.282633,48.31609,"['Hofpuerglhuette, Alpenverein Linz',14.282633,48.31609],"
112,"Linzerhaus / Wurzeralm, Alpenverein Linz","UTMY(Nord)5.277.408/UTMX(Ost)446.495","https://www.alpsonline.org/reservation/calendar?hut_id=112",14.2874068,47.6478661,"['Linzerhaus / Wurzeralm, Alpenverein Linz',14.2874068,47.6478661],"
113,"Linzer Tauplitz-Haus, Alpenverein Linz","UTMY(Nord)5.271.746/UTMX(Ost)425.616","https://www.alpsonline.org/reservation/calendar?hut_id=113",14.282633,48.31609,"['Linzer Tauplitz-Haus, Alpenverein Linz',14.282633,48.31609],"
114,"Alpenrosenhuette, Sektion Schorndorf","N47°25'11.838''E12°14'15.522''","https://www.alpsonline.org/reservation/calendar?hut_id=114",9.528683,48.80537,"['Alpenrosenhuette, Sektion Schorndorf',9.528683,48.80537],"
115,"Ruesselsheimer Huette, Sektion Ruesselsheim","N4659.633E01053.283","https://www.alpsonline.org/reservation/calendar?hut_id=115",8.43358,49.97765,"['Ruesselsheimer Huette, Sektion Ruesselsheim',8.43358,49.97765],"
